,Altitude,Baseline,GPSTime,Heading,La2,Lattitude,Lo2,Longitude,NSV1,NSV2,Pitch,Roll,Status,Ve,Vn,Vu
0,40.68,1.012,459430.0,267.868,39.9881787,39.9881794330564,116.3066367,116.3066307868532,19.0,23.0,-0.523,-0.013,"4B*3E
",0.015,-0.005,-0.0
1,40.68,1.002,459431.0,267.892,39.9881787,39.988179434956834,116.3066367,116.30663078725392,18.0,23.0,-0.516,-0.012,"4B*3C
",0.014,-0.004,-0.001
2,40.68,1.004,459432.0,267.893,39.9881787,39.98817943503602,116.3066367,116.30663078727063,18.0,23.0,-0.5,-0.012,"4B*38
",0.014,-0.003,-0.001
3,40.68,1.007,459433.0,267.891,39.9881787,39.98817943487765,116.3066368,116.3066308872372,18.0,23.0,-0.503,-0.019,"4B*3D
",0.016,-0.003,-0.001
4,40.68,1.009,459434.0,267.895,39.9881787,39.988179435194375,116.306637,116.30663108730407,19.0,23.0,-0.504,-0.033,"4B*32
",0.024,-0.007,-0.001
5,40.68,1.003,459435.0,267.922,39.9881787,39.98817943733219,116.306637,116.30663108775626,18.0,23.0,-0.497,-0.032,"4B*34
",0.021,-0.009,-0.001
6,40.68,1.007,459436.0,269.752,39.9881786,39.98817948182214,116.3066373,116.30663142145892,19.0,23.0,-0.462,-0.07,"4B*35
",0.017,-0.01,-0.002
7,40.66,1.004,459437.0,274.499,39.9881785,39.9881797520722,116.3066373,116.30663153673214,18.0,23.0,-0.428,-0.038,"4B*1F
",0.022,0.001,-0.007
8,40.67,1.005,459438.0,283.7,39.9881782,39.98818014304883,116.306637,116.3066315718093,17.0,23.0,-0.35,-0.077,"4B*3C
",0.013,-0.02,-0.004
9,40.66,1.013,459439.0,292.936,39.9881776,39.98818018634612,116.3066365,116.30663154862859,17.0,23.0,-0.159,-0.064,"4B*32
",0.003,-0.042,-0.005
10,40.67,1.016,459440.0,302.591,39.9881768,39.9881799868848,116.3066358,116.30663148408891,17.0,22.0,-0.284,-0.224,"4B*12
",-0.004,-0.049,-0.002
11,40.68,1.015,459441.0,311.921,39.9881759,39.98817958159647,116.306635,116.30663141454038,18.0,23.0,-0.412,-0.404,"4B*35
",-0.007,-0.056,0.004
12,40.68,1.017,459442.0,321.558,39.9881755,39.98817959018927,116.3066342,116.30663146837954,18.0,23.0,-0.398,-0.227,"4B*3A
",-0.006,-0.061,0.003
13,40.68,1.013,459443.0,331.367,39.9881753,39.9881796874696,116.3066335,116.30663171647278,18.0,23.0,-0.453,-0.171,"4B*10
",0.005,-0.028,0.002
14,40.66,1.012,459444.0,341.273,39.9881752,39.988179757481355,116.3066327,116.30663192676688,19.0,23.0,-0.031,-0.272,"4B*39
",0.01,-0.014,-0.005
15,40.65,1.01,459445.0,351.046,39.9881752,39.988179792051945,116.3066319,116.3066321462251,17.0,24.0,0.011,-0.351,"4B*1D
",0.011,-0.013,-0.009
16,40.66,1.003,459446.0,1.047,39.9881754,39.988179889464526,116.3066311,116.3066323818304,19.0,23.0,0.024,-0.327,"4B*3F
",0.012,0.0,-0.002
17,40.66,1.016,459447.0,11.171,39.9881758,39.98818004667692,116.3066303,116.30663259036696,19.0,23.0,0.019,-0.333,"45*79
",0.036,0.025,-0.006
18,40.67,1.016,459448.0,21.145,39.9881763,39.98818017811486,116.3066296,116.30663281435872,18.0,24.0,0.038,-0.36,"4B*2D
",0.036,0.036,0.006
19,40.7,1.02,459449.0,31.012,39.9881769,39.98818029811341,116.3066289,116.30663293292616,18.0,23.0,0.132,-0.33,"4B*27
",0.041,0.052,0.012
20,40.7,1.006,459450.0,40.871,39.9881776,39.988180418090394,116.3066282,116.30663293167224,17.0,24.0,0.416,-0.333,"4B*26
",0.051,0.07,0.009
21,40.69,1.008,459451.0,50.73,39.9881784,39.988180554832844,116.3066277,116.30663299066464,18.0,24.0,0.211,-0.404,"4B*0B
",0.056,0.069,-0.0
22,40.67,1.016,459452.0,60.59,39.9881793,39.98818072785435,116.3066273,116.30663299342554,15.0,22.0,0.095,-0.422,"4B*0B
",0.076,0.067,-0.006
23,40.64,1.014,459453.0,70.429,39.9881801,39.98818076036158,116.306627,116.30663292767753,15.0,21.0,0.031,-0.189,"45*7A
",0.078,0.082,-0.018
24,40.64,1.013,459454.0,80.266,39.9881809,39.98818077360374,116.3066268,116.30663278756447,15.0,23.0,0.009,-0.121,"4B*08
",0.103,0.063,-0.006
25,40.65,1.016,459455.0,89.621,39.9881817,39.98818082849298,116.3066267,116.3066325811535,17.0,22.0,0.29,-0.05,"4B*0D
",0.09,0.089,-0.001
26,40.65,1.011,459456.0,99.2,39.9881824,39.9881807897228,116.3066267,116.30663231014353,17.0,22.0,0.364,-0.087,"4B*05
",0.098,0.056,-0.001
27,40.67,1.015,459457.0,108.897,39.9881831,39.98818078767158,116.3066267,116.30663187649462,15.0,21.0,0.354,0.02,"4B*39
",0.091,0.044,0.006
28,40.66,1.014,459458.0,118.358,39.9881837,39.98818076624311,116.306627,116.3066316107133,15.0,21.0,0.284,0.105,"4B*1E
",0.094,0.052,-0.002
29,40.67,1.008,459459.0,128.105,39.9881841,39.98818060965776,116.3066273,116.30663119684156,15.0,21.0,0.377,0.108,"4B*37
",0.085,0.033,0.007
30,40.66,1.015,459460.0,137.846,39.9881845,39.98818055408585,116.3066281,116.306631171006,15.0,21.0,0.383,0.205,"4B*1C
",0.089,0.016,-0.001
31,40.67,1.031,459461.0,147.656,39.9881848,39.98818051030353,116.3066292,116.30663134988768,15.0,21.0,0.602,0.281,"4B*3A
",0.113,0.018,0.007
32,40.66,1.017,459462.0,157.554,39.9881851,39.98818059059892,116.3066303,116.30663145687367,17.0,22.0,0.228,0.176,"45*67
",0.119,0.012,-0.001
33,40.66,1.012,459463.0,167.527,39.988185,39.98818040501018,116.3066313,116.30663142158136,17.0,20.0,-0.0,0.169,"4B*11
",0.095,-0.016,-0.006
34,40.65,1.019,459464.0,177.732,39.9881849,39.98818036117431,116.3066323,116.30663135865466,17.0,20.0,-0.182,0.343,"4B*15
",0.103,-0.011,-0.009
35,40.67,1.019,459465.0,187.978,39.9881846,39.98818026203073,116.3066332,116.30663122146566,17.0,20.0,-0.286,0.338,"4B*38
",0.08,-0.038,0.0
36,40.68,1.017,459466.0,198.157,39.9881841,39.98818009859484,116.3066341,116.30663115347583,17.0,22.0,-0.108,0.369,"4B*3F
",0.092,-0.055,0.006
37,40.66,1.013,459467.0,207.905,39.9881836,39.98818003916135,116.3066349,116.3066311130423,15.0,21.0,-0.09,0.285,"4B*1F
",0.072,-0.06,-0.008
38,40.68,1.013,459468.0,217.899,39.988183,39.9881799974627,116.3066357,116.30663116511818,17.0,21.0,-0.237,0.316,"4B*30
",0.076,-0.076,0.002
39,40.67,1.021,459469.0,227.842,39.9881824,39.988180043372346,116.3066361,116.30663095755109,16.0,23.0,-0.35,0.338,"4B*18
",0.045,-0.07,-0.004
40,40.66,1.015,459470.0,237.49,39.9881816,39.98817993799132,116.3066366,116.30663101554147,16.0,23.0,-0.206,0.236,"4B*14
",0.044,-0.078,-0.006
41,40.68,1.01,459471.0,247.233,39.9881808,39.988179887092514,116.3066366,116.30663072952443,15.0,22.0,-0.155,0.181,"45*4D
",0.018,-0.074,0.005
42,40.68,1.016,459472.0,256.99,39.98818,39.98817986365041,116.3066365,116.30663051280656,14.0,22.0,0.016,0.155,"4B*37
",0.009,-0.081,-0.0
43,40.68,1.016,459473.0,266.381,39.9881792,39.98817981507123,116.3066364,116.30663046405216,13.0,24.0,-0.289,-0.062,"4B*15
",0.001,-0.074,0.0
44,40.66,1.01,459474.0,269.406,39.9881784,39.98817925456777,116.3066363,116.30663041462591,14.0,23.0,-0.374,-0.162,"4B*1A
",-0.001,-0.086,-0.008
45,40.65,1.008,459475.0,269.438,39.9881778,39.988178657089726,116.3066362,116.30663031524892,14.0,24.0,-0.388,-0.18,"4B*3F
",0.0,-0.072,-0.006
46,40.66,1.011,459476.0,269.429,39.9881777,39.988178556380454,116.3066363,116.30663041507353,14.0,23.0,-0.378,-0.187,"4B*32
",0.003,-0.043,-0.003
47,40.67,1.009,459477.0,269.421,39.9881779,39.98817875574996,116.3066361,116.30663021491775,14.0,23.0,-0.384,-0.184,"4B*3C
",-0.005,-0.015,0.005
48,40.67,1.006,459478.0,269.416,39.9881778,39.98817865535591,116.306636,116.30663011482044,14.0,23.0,-0.389,-0.173,"4B*31
",-0.003,-0.008,0.003
49,40.67,1.008,459479.0,269.472,39.9881779,39.98817875976901,116.306636,116.30663011591281,14.0,23.0,-0.392,-0.16,"4B*11
",-0.001,0.002,0.002
50,40.67,1.012,459480.0,269.463,39.9881779,39.98817875905982,116.3066361,116.30663021573687,14.0,23.0,-0.383,-0.154,"4B*37
",0.0,0.01,0.0
51,40.67,1.011,459481.0,269.452,39.988178,39.988178858192995,116.3066361,116.30663021552202,15.0,23.0,-0.371,-0.154,"4B*16
",0.002,0.014,-0.0
52,40.67,1.008,459482.0,269.462,39.9881781,39.98817895898102,116.3066361,116.30663021571732,15.0,23.0,-0.353,-0.16,"4B*10
",0.007,0.018,-0.001
53,40.67,1.011,459483.0,269.46,39.9881781,39.98817895882342,116.3066362,116.30663031567823,14.0,23.0,-0.356,-0.166,"4B*18
",0.009,0.014,-0.001
54,40.67,1.012,459484.0,269.455,39.9881781,39.98817895842941,116.3066362,116.30663031558058,14.0,23.0,-0.359,-0.162,"4B*14
",0.009,0.011,-0.001
